1 94 5 34696 33902
2 92 5 57596 56012
3 97 5 73241 70963
4 95 9 85059 82227
5 98 7 94966 91766
6 97 11 103428 99838
7 97 13 110065 106126
8 99 7 115106 110815
9 90 35 119557 114940
10 99 11 122399 117660
11 62 87 124699 119805
12 100 24 126486 121530
13 95 15 128391 123330
14 97 30 130226 125042
15 99 28 131868 126593
16 94 27 133397 128001
17 98 20 134674 129219
18 98 31 135894 130358
19 98 30 137094 131451
20 99 16 138222 132555
21 96 22 139271 133528
22 79 80 140456 134673
23 72 80 141425 135572
24 96 29 142513 136626
25 89 35 143539 137605
26 67 100 144438 138466
27 80 100 145074 139051
28 64 100 145623 139601
29 62 100 146146 140111
30 65 100 146697 140636
31 65 100 147202 141121
32 56 100 147677 141600
33 71 100 148103 141996
34 75 100 148581 142462
35 70 100 149107 142954
36 63 100 149542 143352
37 68 100 150124 143888
38 62 100 150600 144375
39 66 100 151072 144824
40 80 100 151588 145289
41 66 99 152077 145760
42 69 100 152450 146160
43 60 100 152860 146546
44 61 100 153290 146962
45 68 100 153705 147367
46 68 100 154114 147769
47 62 99 154492 148149
48 63 100 154881 148524
49 61 100 155262 148873
50 67 100 155723 149294
51 59 100 156062 149629
52 64 100 156501 150040
53 64 100 156928 150440
54 62 100 157237 150751
55 65 100 157525 151046
56 78 100 157810 151325
57 72 100 158139 151653
58 69 100 158464 151948
59 68 100 158742 152194
60 66 100 159110 152565
61 59 100 159452 152895
62 55 100 159722 153158
63 61 100 159993 153430
64 68 100 160261 153679
65 69 100 160526 153904
66 70 100 160767 154150
67 64 100 161076 154442
68 60 100 161350 154707
69 61 100 161568 154908
70 67 100 161846 155193
71 70 100 162174 155511
72 68 100 162500 155847
73 66 100 162864 156183
74 60 100 163146 156467
75 65 100 163400 156712
76 67 100 163702 156982
77 68 98 163974 157243
78 66 100 164221 157490
79 75 100 164525 157788
80 68 100 164836 158083
81 72 100 165134 158362
82 75 100 165358 158575
83 71 100 165636 158838
84 74 100 165861 159038
85 62 100 166145 159319
86 63 100 166447 159632
87 63 100 166688 159864
88 60 100 166968 160137
89 65 100 167161 160333
90 61 100 167446 160620
91 62 100 167675 160868
92 62 99 167944 161150
93 69 100 168257 161440
94 67 100 168496 161686
95 63 100 168715 161904
96 65 100 168975 162158
97 67 99 169177 162362
98 65 100 169412 162585
99 71 100 169636 162800
100 59 99 169839 162997
